word,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
abbassa,a,bb,a,ss,a,,,,,,,
accendi,a,ttS,E,n,d,i,,,,,,
accordo,a,kk,O,r,d,o,,,,,,
aeroplano,a,e,r,o,p,l,a,n,o,,,
afoso,a,f,o,s,o,,,,,,,
aiuto,a,j,u,t,o,,,,,,,
albero,a,l,b,e,r,o,,,,,,
alghe,a,l,g,e,,,,,,,,
almeno,a,l,m,e,n,o,,,,,,
alto,a,l,t,o,,,,,,,,
altri,a,l,t,r,i,,,,,,,
alza,a,l,ts,a,,,,,,,,
androne,a,n,d,r,o,n,e,,,,,
angelo,a,n,dZ,e,l,o,,,,,,
Aosta,a,O,s,t,a,,,,,,,
apri,a,p,r,i,,,,,,,,
arancione,a,r,a,n,tS,o,n,e,,,,
argenteo,a,r,dZ,E,n,t,o,,,,,
aria,a,r,j,a,,,,,,,,
aspro,a,s,p,r,o,,,,,,,
auto,a,u,t,o,,,,,,,,
aveva,a,v,e,v,a,,,,,,,
avevano,a,v,e,v,a,n,o,,,,,
avevo,a,v,e,v,o,,,,,,,
avrebbe,a,v,r,E,bb,e,,,,,,
avvolgere,a,vv,O,l,dZ,e,,,,,,
bagno,b,a,JJ,o,,,,,,,,
bambini,b,a,m,b,i,n,i,,,,,
barca,b,a,r,k,a,,,,,,,
benzina,b,e,n,dz,i,n,a,,,,,
bianco,b,j,a,n,k,o,,,,,,
bicicletta,b,i,tS,i,k,l,e,tt,a,,,
blu,b,l,u,,,,,,,,,
borotalco,b,o,r,o,t,a,l,k,o,,,
braccio,b,r,a,ttS,o,,,,,,,
buona,b,w,O,n,a,,,,,,,
camera,k,a,m,E,r,a,,,,,,
campo,k,a,m,p,o,,,,,,,
canale,k,a,n,a,l,e,,,,,,
cancello,k,a,n,tS,E,ll,o,,,,,
cantina,k,a,n,t,i,n,a,,,,,
casa,k,a,s,a,,,,,,,,
cento,tS,E,n,t,o,,,,,,,
chiesa,k,j,E,z,a,,,,,,,
chiudi,k,j,u,d,i,,,,,,,
cinque,tS,i,n,k,w,e,,,,,,
cioe,tS,o,E,,,,,,,,,
classe,k,l,a,ss,e,,,,,,,
completo,k,o,m,p,l,E,t,o,,,,
compra,k,o,m,p,r,a,,,,,,
comune,k,o,m,u,n,e,,,,,,
concluso,k,o,n,k,l,u,z,o,,,,
confetti,k,o,n,f,E,tt,i,,,,,
consumi,k,o,n,s,u,m,i,,,,,
corpo,k,O,r,p,o,,,,,,,
corridoio,k,o,rr,i,d,o,j,o,,,,
corte,k,o,r,t,e,,,,,,,
cosa,k,O,s,a,,,,,,,,
cravatta,k,r,a,v,a,tt,a,,,,,
cucina,k,u,tS,i,n,a,,,,,,
cuore,k,w,O,r,e,,,,,,,
dato,d,a,t,o,,,,,,,,
delfino,d,e,l,f,i,n,o,,,,,
dentifricio,d,e,n,t,i,f,r,i,tS,o,,
destra,d,E,s,t,r,a,,,,,,
devono,d,E,v,o,n,o,,,,,,
dieci,d,j,E,tS,i,,,,,,,
difficile,d,i,ff,i,tS,i,l,e,,,,
discreto,d,i,s,k,r,E,t,o,,,,
disgrazia,d,i,z,g,r,a,tts,j,a,,,
disimpegno,d,i,z,i,m,p,e,JJ,o,,,
diverse,d,i,v,E,r,s,e,,,,,
diversi,d,i,v,E,r,s,i,,,,,
domanda,d,o,m,a,n,d,a,,,,,
donna,d,O,nn,a,,,,,,,,
donne,d,O,nn,e,,,,,,,,
drago,d,r,a,g,o,,,,,,,
due,d,u,e,,,,,,,,,
economico,e,k,o,n,O,m,i,k,o,,,
egregio,e,g,r,E,dZ,o,,,,,,
entrata,e,n,t,r,a,t,a,,,,,
erano,E,r,a,n,o,,,,,,,
erba,E,r,b,a,,,,,,,,
escluso,e,s,k,l,u,z,o,,,,,
esplode,e,s,p,l,O,d,e,,,,,
estate,e,s,t,a,t,e,,,,,,
Europa,e,u,r,O,p,a,,,,,,
famiglia,f,a,m,i,LL,a,,,,,,
fanno,f,a,nn,o,,,,,,,,
fantasmi,f,a,n,a,z,m,i,,,,,
fare,f,a,r,e,,,,,,,,
farfalla,f,a,r,f,a,ll,a,,,,,
fatto,f,a,tt,o,,,,,,,,
figli,f,i,LL,i,,,,,,,,
figlio,f,i,LL,o,,,,,,,,
film,f,i,l,m,,,,,,,,
finestra,f,i,n,E,s,t,r,a,,,,
flauto,f,l,a,u,t,o,,,,,,
forma,f,o,r,m,a,,,,,,,
forza,f,O,r,ts,a,,,,,,,
freddo,f,r,e,dd,o,,,,,,,
generale,dZ,e,n,e,r,a,l,e,,,,
giallo,dZ,a,ll,o,,,,,,,,
giardino,dZ,a,r,d,i,n,o,,,,,
giorno,dZ,o,r,n,o,,,,,,,
giovane,dZ,o,v,a,n,e,,,,,,
giovani,dZ,o,v,a,n,i,,,,,,
giu,dZ,i,u,,,,,,,,,
glicine,g,l,i,tS,i,n,e,,,,,
gnocchi,J,O,kk,i,,,,,,,,
gradi,g,r,a,d,i,,,,,,,
grande,g,r,a,n,d,e,,,,,,
guerra,g,w,E,rr,a,,,,,,,
hanno,a,nn,o,,,,,,,,,
idea,i,d,E,a,,,,,,,,
ieri,j,E,r,i,,,,,,,,
importante,i,m,p,o,r,t,a,n,t,e,,
incrocio,i,n,k,r,o,tS,o,,,,,
influenza,i,n,f,l,u,E,n,ts,a,,,
inglese,i,n,g,l,e,s,e,,,,,
ingresso,i,n,g,r,E,ss,o,,,,,
inverno,i,n,v,E,r,n,o,,,,,
italiani,i,t,a,l,j,a,n,i,,,,
italiano,i,t,a,l,j,a,n,o,,,,
lacrime,l,a,k,r,i,m,e,,,,,
leggono,l,E,gg,o,n,o,,,,,,
letto,l,E,tt,o,,,,,,,,
libro,l,i,b,r,o,,,,,,,
luce,l,u,tS,e,,,,,,,,
lungo,l,u,n,g,o,,,,,,,
luogo,l,w,O,g,o,,,,,,,
madre,m,a,d,r,e,,,,,,,
maggiore,m,a,ddZ,o,r,e,,,,,,
mamma,m,a,mm,a,,,,,,,,
mansarda,m,a,n,s,a,r,d,a,,,,
marcire,m,a,r,tS,i,r,e,,,,,
massimo,m,a,ss,i,m,o,,,,,,
mattino,m,a,tt,i,n,o,,,,,,
mezzo,m,E,ddz,o,,,,,,,,
milioni,m,i,l,j,o,n,i,,,,,
ministro,m,i,n,i,s,t,r,o,,,,
molto,m,o,l,t,o,,,,,,,
momento,m,o,m,e,n,t,o,,,,,
morte,m,O,r,t,e,,,,,,,
mosca,m,o,s,k,a,,,,,,,
necessario,n,e,tS,e,ss,a,r,j,o,,,
nero,n,e,r,o,,,,,,,,
nessuno,n,e,ss,u,n,o,,,,,,
nostri,n,O,s,t,r,i,,,,,,
nostro,n,O,s,t,r,o,,,,,,
notte,n,O,tt,e,,,,,,,,
nove,n,O,v,e,,,,,,,,
nuova,n,w,O,v,a,,,,,,,
nuove,n,w,O,v,e,,,,,,,
nuovi,n,w,O,v,i,,,,,,,
oasi,O,a,z,i,,,,,,,,
occhi,O,kk,i,,,,,,,,,
offeso,o,ff,e,s,o,,,,,,,
otto,O,tt,o,,,,,,,,,
padre,p,a,d,r,e,,,,,,,
paese,p,a,e,z,e,,,,,,,
paesi,p,a,e,z,i,,,,,,,
parte,p,a,r,t,e,,,,,,,
parti,p,a,r,t,i,,,,,,,
particolare,p,a,r,t,i,k,o,l,a,r,e,
passato,p,a,ss,a,t,o,,,,,,
pergolato,p,e,r,g,o,l,a,t,o,,,
perle,p,E,r,l,e,,,,,,,
persona,p,e,r,s,o,n,a,,,,,
persone,p,e,r,s,o,n,e,,,,,
piccolo,p,i,kk,o,l,o,,,,,,
piedi,p,j,E,d,i,,,,,,,
pinza,p,i,n,ts,a,,,,,,,
plagio,p,l,a,dZ,o,,,,,,,
polvere,p,o,l,v,e,r,e,,,,,
porta,p,O,r,t,a,,,,,,,
